name,english_name,operator,output,source,method,wikidata,openinframap_plant_id,openinframap_url,latitude,longitude,coordinate_source,coordinate_confidence,osm_type,osm_id,coordinate_error
نیروگاه دماوند,Damavand Combined Cycle Power Plant,,"2,868 MW",gas,combustion,Q16074621,156622470,https://openinframap.org/stats/area/Iran/plants/156622470,35.408660,51.848600,wikidata_p625,high,,,
نیروگاه شهید سلیمی نکا,Shahid Salimi Power Plant of Neka,Iran Power Plant Projects Management Company (Mapna),"2,215 MW",gas,combustion,Q5946803,226402074,https://openinframap.org/stats/area/Iran/plants/226402074,36.838100,53.256900,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی شهید رجایی,Shahid Rajai Power Plant,,"2,043 MW",gas,combustion,Q5771733,-14187059,https://openinframap.org/stats/area/Iran/plants/-14187059,36.159700,50.299400,wikidata_p625,high,,,
نیروگاه سد شهید عباسپور,Shahid Abbaspour Dam Hydropower Station,,"2,000 MW",hydro,water-storage,Q5771157,724728900,https://openinframap.org/stats/area/Iran/plants/724728900,32.051438,49.605999,wikidata_p625,high,,,
کارون ۳,Karun-3 Hydro Power Plant,,"2,000 MW",hydro,water-storage,Q5872630,801748943,https://openinframap.org/stats/area/Iran/plants/801748943,31.804424,50.088869,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی کرمان,Kerman Power Plant,,"1,912 MW",gas,combustion,Q11980536,118483832,https://openinframap.org/stats/area/Iran/plants/118483832,30.202974,56.791004,wikidata_p625,high,,,
نیروگاه حرارتی رامین,Ramin Power Plant,,"1,903 MW",gas,combustion,Q5962581,453707880,https://openinframap.org/stats/area/Iran/plants/453707880,31.503223,48.884897,wikidata_p625,high,,,
نیروگاه منتظر قائم,Montazer Gaem Power Plant,,"1,622 MW",gas,combustion,Q6563426,307965023,https://openinframap.org/stats/area/Iran/plants/307965023,35.730702,50.995182,wikidata_p625,high,,,
نیروگاه پرند,Parand Power Plant,,"1,506 MW",gas,combustion,Q16053892,523740713,https://openinframap.org/stats/area/Iran/plants/523740713,35.466360,51.010065,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی جهرم,Jahrom Power Plant,,"1,434 MW",gas,combustion,Q16053688,309658718,https://openinframap.org/stats/area/Iran/plants/309658718,28.700833,53.544722,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی شیروان,Shirvan Power Plant,,"1,434 MW",gas,combustion,Q16053827,309552490,https://openinframap.org/stats/area/Iran/plants/309552490,37.338277,58.052760,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی کازرون,Kazeroun power plant,,"1,372 MW",gas,combustion,Q5700578,724465071,https://openinframap.org/stats/area/Iran/plants/724465071,29.563230,51.695931,wikidata_p625,high,,,
یروگاه حرارتی بندرعباس,Bandar Abbas Power Plant,,"1,330 MW",oil,combustion,Q17994527,256054008,https://openinframap.org/stats/area/Iran/plants/256054008,27.146667,56.116111,wikidata_p625,high,,,
نیروگاه گازی عسلویه,Asaluyeh power plant,,"1,322 MW",gas,combustion,Q11959414,278774872,https://openinframap.org/stats/area/Iran/plants/278774872,27.409659,52.781601,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی گیلان,Gilan Power Plant,,"1,306 MW",gas,combustion,Q17776111,313572498,https://openinframap.org/stats/area/Iran/plants/313572498,37.160434,49.636952,wikidata_p625,high,,,
نیروگاه شازند,Shazand Power Plant,,"1,300 MW",gas,combustion,Q12000169,304821521,https://openinframap.org/stats/area/Iran/plants/304821521,34.001111,49.500556,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی ارومیه,Orumieh Power Plant,,"1,280 MW",gas,combustion,Q16053665,337978900,https://openinframap.org/stats/area/Iran/plants/337978900,37.353548,45.267489,wikidata_p625,high,,,
نیروگاه چرخه ترکیبی سبلان اردبیل,Sabalan Ardabil combined cycle power plant,,"1,280 MW",gas,combustion,Q16053623,100497131,https://openinframap.org/stats/area/Iran/plants/100497131,38.527076,48.181304,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی فردوسی,Ferdowsi Power Plant,,"1,274 MW",gas,combustion,Q16053860,951782281,https://openinframap.org/stats/area/Iran/plants/951782281,36.447778,59.402500,wikidata_p625,high,,,
نیروگاه مرکزی پارس,South Pars Central Power Plant,,"1,114 MW",gas,combustion,Q16053882,278774856,https://openinframap.org/stats/area/Iran/plants/278774856,27.487718,52.656384,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی خیام,Khayam Neyshabur Combined Cycle Power Plant,,"1,040 MW",gas,combustion,Q5769418,601014547,https://openinframap.org/stats/area/Iran/plants/601014547,36.280580,58.777796,wikidata_p625,high,,,
نیروگاه تلمبه‌ای ذخیره‌ای سیاه‌بیشه,Siah Bishe Pumped Storage Power Plant,Iran Water & Power Resources Development Co.,"1,040 MW",hydro,water-pumped-storage,Q4562998,774605180,https://openinframap.org/stats/area/Iran/plants/774605180,36.217778,51.305000,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی فارس,Fars combined cycle power plant,,"1,035 MW",gas,combustion,Q5724639,1096862315,https://openinframap.org/stats/area/Iran/plants/1096862315,29.359000,52.615500,wikidata_p625,high,,,
نیروگاه علی‌آباد کتول,Aliabad Katool Power Plant,,"1,014 MW",gas,combustion,Q16053850,305780945,https://openinframap.org/stats/area/Iran/plants/305780945,36.946012,54.893870,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی یزد,Yazd CCGT Power Plant,,"1,005 MW",gas,combustion,Q2944750,134223075,https://openinframap.org/stats/area/Iran/plants/134223075,31.953000,54.067000,wikidata_p625,high,,,
نیروگاه اتمی بوشهر,Bushehr Nuclear Power Plant,,"1,000 MW",nuclear,fission,Q204637,-6047051,https://openinframap.org/stats/area/Iran/plants/-6047051,28.828889,50.887222,wikidata_p625,high,,,
نیروگاه سد کارون ۴,Karun 4 Dam Hydropower Station,,"1,000 MW",hydro,water-storage,Q56357735,307521031,https://openinframap.org/stats/area/Iran/plants/307521031,31.596856,50.471176,wikidata_p625,high,,,
نیروگاه شهید مفتح,Shahid Mofateh Power Plant,,"1,000 MW",gas,combustion,Q5875310,512667959,https://openinframap.org/stats/area/Iran/plants/512667959,35.134611,48.851422,wikidata_p625,high,,,
نیروگاه گتوند,Gotvand Dam Powerhouse,,"1,000 MW",hydro,water-storage,Q42296412,316729588,https://openinframap.org/stats/area/Iran/plants/316729588,32.260654,48.923961,wikidata_p625,high,,,
نیروگاه برق خلیج فارس,Persian Gulf Power Plant,,990 MW,gas,combustion,Q16074596,307093979,https://openinframap.org/stats/area/Iran/plants/307093979,27.419698,56.503976,wikidata_p625,high,,,
نیروگاه حافظ,Hafez Power Plant,,972 MW,gas,combustion,Q16053567,204180559,https://openinframap.org/stats/area/Iran/plants/204180559,29.372569,52.616878,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی خرمشهر,Khorramshahr Power Plant,,972 MW,gas,combustion,Q16053709,524775393,https://openinframap.org/stats/area/Iran/plants/524775393,30.485038,48.250595,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی پره سر,Pareh Sar Power Plant,,968 MW,gas,combustion,Q16053898,375393743,https://openinframap.org/stats/area/Iran/plants/375393743,37.636725,49.080532,wikidata_p625,high,,,
نیروگاه گازی سنندج,Sanandaj power plant,,956 MW,gas,combustion,Q16053868,250724514,https://openinframap.org/stats/area/Iran/plants/250724514,35.393443,47.025296,wikidata_p625,high,,,
نیروگاه چهل‌ستون اصفهان,Chehel Sotun power plant,,954 MW,gas,combustion,Q11977566,306504296,https://openinframap.org/stats/area/Iran/plants/306504296,32.262606,51.528237,wikidata_p625,high,,,
نیروگاه ری,Ray Gas Power Plant,,932 MW,gas;diesel,combustion,Q20111255,28762557,https://openinframap.org/stats/area/Iran/plants/28762557,35.523998,51.410282,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی غدیر انرژی لامرد,,,913 MW,coal,combustion,,1428221503,https://openinframap.org/stats/area/Iran/plants/1428221503,27.395281,53.247874,osm_geometry_bbox_center,medium,way,1428221503,
